rep,threshold,coverage
0,0.0,1.0
0,0.01,0.99
0,0.02,0.99
0,0.03,0.99
0,0.04,0.99
0,0.05,0.99
0,0.06,0.99
0,0.07,0.99
0,0.08,0.99
0,0.09,0.99
0,0.1,0.99
0,0.11,0.99
0,0.12,0.99
0,0.13,0.99
0,0.14,0.99
0,0.15,0.99
0,0.16,0.99
0,0.17,0.99
0,0.18,0.99
0,0.19,0.99
0,0.2,0.99
0,0.21,0.99
0,0.22,0.99
0,0.23,0.99
0,0.24,0.99
0,0.25,0.99
0,0.26,0.99
0,0.27,0.99
0,0.28,0.99
0,0.29,0.99
0,0.3,0.99
0,0.31,0.99
0,0.32,0.99
0,0.33,0.99
0,0.34,0.99
0,0.35000000000000003,0.99
0,0.36,0.99
0,0.37,0.99
0,0.38,0.99
0,0.39,0.99
0,0.4,0.99
0,0.41000000000000003,0.99
0,0.42,0.99
0,0.43,0.99
0,0.44,0.99
0,0.45,0.99
0,0.46,0.99
0,0.47000000000000003,0.99
0,0.48,0.99
0,0.49,0.99
0,0.5,0.99
0,0.51,0.99
0,0.52,0.99
0,0.53,0.99
0,0.54,0.99
0,0.55,0.99
0,0.56,0.99
0,0.5700000000000001,0.99
0,0.58,0.99
0,0.59,0.99
0,0.6,0.99
0,0.61,0.99
0,0.62,0.99
0,0.63,0.99
0,0.64,0.99
0,0.65,0.99
0,0.66,0.99
0,0.67,0.99
0,0.68,0.99
0,0.6900000000000001,0.99
0,0.7000000000000001,0.99
0,0.71,0.99
0,0.72,0.99
0,0.73,0.99
0,0.74,0.99
0,0.75,0.99
0,0.76,0.99
0,0.77,0.99
0,0.78,0.98
0,0.79,0.98
0,0.8,0.98
0,0.81,0.98
0,0.8200000000000001,0.98
0,0.8300000000000001,0.98
0,0.84,0.98
0,0.85,0.98
0,0.86,0.97
0,0.87,0.94
0,0.88,0.93
0,0.89,0.9
0,0.9,0.9
0,0.91,0.9
0,0.92,0.86
0,0.93,0.84
0,0.9400000000000001,0.77
0,0.9500000000000001,0.67
0,0.96,0.54
0,0.97,0.35
0,0.98,0.1
0,0.99,0.03
0,1.0,0.0
1,0.0,1.0
1,0.01,0.99
1,0.02,0.99
1,0.03,0.99
1,0.04,0.99
1,0.05,0.99
1,0.06,0.99
1,0.07,0.99
1,0.08,0.99
1,0.09,0.99
1,0.1,0.99
1,0.11,0.99
1,0.12,0.99
1,0.13,0.99
1,0.14,0.99
1,0.15,0.99
1,0.16,0.99
1,0.17,0.99
1,0.18,0.99
1,0.19,0.99
1,0.2,0.99
1,0.21,0.99
1,0.22,0.99
1,0.23,0.99
1,0.24,0.99
1,0.25,0.99
1,0.26,0.99
1,0.27,0.99
1,0.28,0.99
1,0.29,0.99
1,0.3,0.99
1,0.31,0.99
1,0.32,0.99
1,0.33,0.99
1,0.34,0.99
1,0.35000000000000003,0.99
1,0.36,0.99
1,0.37,0.99
1,0.38,0.99
1,0.39,0.99
1,0.4,0.99
1,0.41000000000000003,0.99
1,0.42,0.99
1,0.43,0.99
1,0.44,0.99
1,0.45,0.99
1,0.46,0.99
1,0.47000000000000003,0.99
1,0.48,0.99
1,0.49,0.99
1,0.5,0.99
1,0.51,0.99
1,0.52,0.99
1,0.53,0.99
1,0.54,0.99
1,0.55,0.99
1,0.56,0.99
1,0.5700000000000001,0.99
1,0.58,0.99
1,0.59,0.99
1,0.6,0.99
1,0.61,0.99
1,0.62,0.99
1,0.63,0.99
1,0.64,0.99
1,0.65,0.99
1,0.66,0.99
1,0.67,0.99
1,0.68,0.99
1,0.6900000000000001,0.99
1,0.7000000000000001,0.99
1,0.71,0.99
1,0.72,0.99
1,0.73,0.99
1,0.74,0.99
1,0.75,0.98
1,0.76,0.98
1,0.77,0.98
1,0.78,0.98
1,0.79,0.98
1,0.8,0.98
1,0.81,0.98
1,0.8200000000000001,0.98
1,0.8300000000000001,0.97
1,0.84,0.97
1,0.85,0.95
1,0.86,0.95
1,0.87,0.95
1,0.88,0.92
1,0.89,0.9
1,0.9,0.88
1,0.91,0.8
1,0.92,0.78
1,0.93,0.73
1,0.9400000000000001,0.63
1,0.9500000000000001,0.44
1,0.96,0.34
1,0.97,0.25
1,0.98,0.09
1,0.99,0.01
1,1.0,0.0
2,0.0,1.0
2,0.01,1.0
2,0.02,1.0
2,0.03,1.0
2,0.04,1.0
2,0.05,1.0
2,0.06,1.0
2,0.07,1.0
2,0.08,1.0
2,0.09,1.0
2,0.1,1.0
2,0.11,1.0
2,0.12,1.0
2,0.13,1.0
2,0.14,1.0
2,0.15,0.99
2,0.16,0.99
2,0.17,0.99
2,0.18,0.99
2,0.19,0.99
2,0.2,0.99
2,0.21,0.99
2,0.22,0.99
2,0.23,0.99
2,0.24,0.99
2,0.25,0.99
2,0.26,0.99
2,0.27,0.99
2,0.28,0.99
2,0.29,0.99
2,0.3,0.99
2,0.31,0.99
2,0.32,0.99
2,0.33,0.99
2,0.34,0.99
2,0.35000000000000003,0.99
2,0.36,0.99
2,0.37,0.99
2,0.38,0.99
2,0.39,0.99
2,0.4,0.99
2,0.41000000000000003,0.99
2,0.42,0.99
2,0.43,0.99
2,0.44,0.99
2,0.45,0.99
2,0.46,0.99
2,0.47000000000000003,0.99
2,0.48,0.99
